,date,dailyTest,dailyEvent,dailyDecease,totalHealing,dailyHealing,IntensiveCare,intubatedPatient,sociability,highestTemperature,lowestTemperature
0,20200313,6,5,0,0,0,0,0,1,7,3
1,20200314,8,6,0,0,0,0,0,1,7,3
2,20200315,11,7,0,0,0,0,0,1,6,0
3,20200316,35,31,0,0,0,0,0,1,6,1
4,20200317,63,49,1,0,0,0,0,1,6,0
5,20200318,150,93,1,0,0,0,0,1,7,2
6,20200319,1981,168,2,0,0,0,0,1,9,3
7,20200320,3656,311,5,0,0,0,0,1,8,3
8,20200321,2970,277,12,0,0,0,0,1,10,4
9,20200322,1738,289,9,0,0,0,0,1,10,3
10,20200323,3672,293,7,0,0,0,0,1,12,4
11,20200324,3952,343,7,26,26,0,0,1,14,6
12,20200325,5035,561,15,26,0,0,0,1,12,7
13,20200326,7286,1196,16,26,0,0,0,1,10,6
14,20200327,7533,2069,17,42,16,344,241,1,9,4
15,20200328,7641,1704,16,70,28,445,309,1,9,3
16,20200329,9982,1815,23,105,35,568,394,1,10,5
17,20200330,11535,1610,37,162,57,725,526,1,12,5
18,20200331,15422,2704,46,243,81,847,622,1,13,6
19,20200401,14396,2148,63,333,90,947,692,1,12,7
20,20200402,18757,2456,79,415,82,1101,783,1,11,5
21,20200403,16160,2786,69,484,69,1251,867,1,12,6
22,20200404,19664,3013,76,786,302,1311,909,1,14,6
23,20200405,20065,3135,73,1042,256,1381,935,1,15,9
24,20200406,21400,3148,75,1326,284,966,1326,1,14,8
25,20200407,20023,3892,76,1582,256,1474,987,1,11,7
26,20200408,24900,4117,87,1846,264,1492,995,1,11,5
27,20200409,28578,4056,96,2142,296,1552,1017,1,11,6
28,20200410,30864,4747,98,2423,281,1667,1062,1,11,5
29,20200411,33170,5138,95,2965,542,1626,1021,0,11,5
30,20200412,35720,4789,97,3446,481,1665,978,0,13,5
31,20200413,34456,4093,98,3957,511,1786,1063,1,15,9
32,20200414,33070,4062,107,4799,842,1809,1087,1,13,8
33,20200415,34090,4281,115,5674,875,1820,1052,1,15,9
34,20200416,40427,4801,125,7089,1415,1854,1040,1,14,9
35,20200417,40270,4353,126,8631,1542,1845,1014,1,14,8
36,20200418,40520,3783,121,10453,1822,1894,1054,0,16,8
37,20200419,35344,3977,127,11976,1523,1922,1031,0,15,9
38,20200420,39703,4674,123,13430,1454,1909,1033,1,14,8
39,20200421,39429,4611,119,14918,1488,1865,1006,1,12,7
40,20200422,37535,3083,117,16477,1559,1814,985,1,13,7
41,20200423,40962,3116,115,18491,2014,1816,982,0,15,8
42,20200424,38351,3122,109,21737,3246,1790,929,0,16,9
43,20200425,38308,2861,106,25582,3845,1782,900,0,16,10
44,20200426,30177,2357,99,29140,3558,1776,883,0,16,10
45,20200427,20143,2131,95,33791,4651,1736,882,1,17,10
46,20200428,29230,2392,92,38809,5018,1621,845,1,17,10
47,20200429,43498,2936,89,44022,5231,1574,831,1,17,10
48,20200430,42004,2615,93,48886,4846,1514,803,1,17,9
49,20200501,41431,2188,84,53808,4922,1480,818,0,17,10
50,20200502,36318,1983,78,58259,4451,1445,778,0,18,11
51,20200503,24001,1670,61,63151,4892,1424,766,0,19,12
52,20200504,35771,1614,64,68166,5015,1384,727,1,16,11
53,20200505,33283,1832,59,73285,5119,1338,707,1,16,9
54,20200506,30303,2253,64,78202,4917,1278,669,1,16,9
55,20200507,30395,1977,57,82984,4782,1260,665,1,17,9
56,20200508,33687,1848,48,86396,3412,1219,653,1,17,10
57,20200509,35605,1546,50,89480,3084,1168,628,0,17,9
58,20200510,36187,1542,47,92691,3211,1154,598,0,16,9
